email_preview,score,grade,tone,politeness,pa,sarcasm,urgency,risk_count
"Randy, Can you send me a schedule of the salary and level of everyone in the sch",100,Excellent,professional,polite,neutral,neutral,low,0
"Greg, How about either next Tuesday or Thursday? Phillip",76,Acceptable,professional,impolite,neutral,neutral,medium,0
Please cc the following distribution list with updates: Phillip Allen (pallen@en,100,Excellent,professional,polite,neutral,neutral,low,0
1. login: pallen pw: ke9davis I don't think these are required by the ISP 2. sta,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/16/2000 01:42 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Mr. Buckner, For delivered gas behind San Diego, Enron Energy Services is the ap",75,Acceptable,professional,impolite,neutral,neutral,low,0
"Lucy, Here are the rentrolls: Open them and save in the rentroll folder. Follow ",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/09/2000 02:16 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/09/2000 02:00 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Dave, Here are the names of the west desk members by category. The origination s",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/04/2000 04:23 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Tim, mike grigsby is having problems with accessing the west power site. Can you",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/03/2000 04:30 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/03/2000 04:13 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Brenda, Please use the second check as the October payment. If you have already ",100,Excellent,professional,polite,neutral,neutral,low,0
I think Fletch has a good CPA. I am still doing my own.,100,Excellent,professional,polite,neutral,neutral,low,0
"Brenda, Please use the second check as my October payment. I have my copy of the",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/28/2000 01:09 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Liane, As we discussed yesterday, I am concerned there has been an attempt to ma",75,Acceptable,professional,polite,passive_aggressive,neutral,high,1
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 04:28 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 04:26 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 02:00 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Reagan, Just wanted to give you an update. I have changed the unit mix to includ",87,Excellent,professional,polite,passive_aggressive,neutral,low,1
Nymex expiration is during this time frame. Please reschedule.,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 12:08 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 12:07 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 11:57 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Chris, What is the latest with PG&E? We have been having good discussions regard",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/25/2000 02:01 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/25/2000 02:00 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Greg, Happy B-day. Email me your phone # and I will call you. Keith",100,Excellent,professional,polite,neutral,neutral,low,0
"Kathy, Regarding the guest password for gas daily, can you please relay the info",100,Excellent,professional,polite,neutral,neutral,medium,0
"John, Denver's short rockies position beyond 2002 is created by their Trailblaze",100,Excellent,professional,polite,neutral,neutral,low,0
"Jim, Is there going to be a conference call or some type of weekly meeting about",75,Acceptable,professional,impolite,neutral,neutral,medium,0
"George, Below is a list of questions that Keith and I had regarding the Westgate",92,Excellent,professional,polite,neutral,neutral,high,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/19/2000 04:35 ,100,Excellent,professional,polite,neutral,neutral,low,0
"George, Here sales numbers from Reagan: As you can see his units sold at a varie",100,Excellent,professional,polite,neutral,neutral,medium,0
